2018-08-13 15:13:08.001 [main] INFO  o.s.b.a.e.web.servlet.WebMvcEndpointHandlerMapping - Mapped "{[/actuator/info],methods=[GET],produces=[application/vnd.spring-boot.actuator.v2+json || application/json]}" onto public java.lang.Object org.springframework.boot.actuate.endpoint.web.servlet.AbstractWebMvcEndpointHandlerMapping$OperationHandler.handle(javax.servlet.http.HttpServletRequest,java.util.Map<java.lang.String, java.lang.String>)
2018-08-13 15:13:08.002 [main] INFO  o.s.b.a.e.web.servlet.WebMvcEndpointHandlerMapping - Mapped "{[/actuator],methods=[GET],produces=[application/vnd.spring-boot.actuator.v2+json || application/json]}" onto protected java.util.Map<java.lang.String, java.util.Map<java.lang.String, org.springframework.boot.actuate.endpoint.web.Link>> org.springframework.boot.actuate.endpoint.web.servlet.WebMvcEndpointHandlerMapping.links(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)
2018-08-13 15:13:08.107 [main] INFO  com.summer.school.Tests - Started Tests in 8.047 seconds (JVM running for 10.097)
2018-08-13 15:13:08.332 [Thread-2] INFO  o.s.w.context.support.GenericWebApplicationContext - Closing org.springframework.web.context.support.GenericWebApplicationContext@59e32960: startup date [Mon Aug 13 15:13:00 CST 2018]; root of context hierarchy
2018-08-13 15:13:18.628 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.summer.school.Tests], using SpringBootContextLoader
2018-08-13 15:13:18.639 [main] INFO  o.s.test.context.support.AbstractContextLoader - Could not detect default resource locations for test class [com.summer.school.Tests]: no resource found for suffixes {-context.xml, Context.groovy}.
2018-08-13 15:13:18.641 [main] INFO  o.s.t.c.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.summer.school.Tests]: Tests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2018-08-13 15:13:18.928 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.summer.school.SummerSchoolProviderApplication for test class com.summer.school.Tests
2018-08-13 15:13:19.136 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
2018-08-13 15:13:19.404 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@4a003cbe, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@4082ba93, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@17fc391b, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@2b30a42c, org.springframework.test.context.support.DirtiesContextTestExecutionListener@609e8838, org.springframework.test.context.transaction.TransactionalTestExecutionListener@359df09a, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@43df23d3, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@6d60fe40, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@792b749c, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@23e84203, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@19932c16, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@73eb439a]
2018-08-13 15:13:20.017 [main] INFO  com.summer.school.Tests - Starting Tests on DESKTOP-6K0698S with PID 11016 (started by zengfeiyue in D:\worldspace\summer\summer-school\summer-school-provider)
2018-08-13 15:13:20.018 [main] INFO  com.summer.school.Tests - No active profile set, falling back to default profiles: default
2018-08-13 15:13:20.101 [main] INFO  o.s.w.context.support.GenericWebApplicationContext - Refreshing org.springframework.web.context.support.GenericWebApplicationContext@59e32960: startup date [Mon Aug 13 15:13:20 CST 2018]; root of context hierarchy
2018-08-13 15:13:22.236 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2018-08-13 15:13:22.927 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.boot.context.properties.ConversionServiceDeducer$Factory' of type [org.springframework.boot.context.properties.ConversionServiceDeducer$Factory] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2018-08-13 15:13:22.941 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration$$EnhancerBySpringCGLIB$$a07b1f75] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2018-08-13 15:13:22.954 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.cache.annotation.ProxyCachingConfiguration' of type [org.springframework.cache.annotation.ProxyCachingConfiguration$$EnhancerBySpringCGLIB$$e98d5593] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
